#T, c, x
1.0  0.01820780196112537  0.0011906504959142694 -1.9975577246093754 0.9993814697265633
1.2  0.06472781593060972  0.005577300661533021 -1.9892296484374987 0.9971983984375001
1.4  0.12933353744960632  0.014632892323252886 -1.9695398193359361 0.9918618920898448
1.6  0.2771521997724235  0.04968944615917792 -1.9258823486328132 0.9786957641601556
1.8  0.4871425710766631  0.10981009399295595 -1.8579845507812487 0.9569625097656248
2.0  0.786485323509055  0.37815494715556497 -1.7435222558593753 0.9108349877929683
2.2  1.236405141696744  2.4423143534208043 -1.5407844189453113 0.7869169287109371
2.4000000000000004  1.3398733787033572  67.67301983867871 -1.2328564648437483 -0.13340639892578118
2.6  0.6643205834664246  9.039563840451013 -1.0371114013671874 -0.06336461425781244
2.8  0.46129503419668466  5.464844203790154 -0.9139168701171867 -0.019694072265624994
3.0  0.3851195741554723  3.4752399734186104 -0.818416020507814 0.010463325195312498
3.2  0.3176761702640362  2.513056733526182 -0.7537253857421875 -0.014844494628906236
3.4000000000000004  0.286952752012038  2.1051913221139653 -0.6947591455078116 -0.004645942382812497
3.6  0.24881748878512258  1.6999651288043718 -0.6359763867187507 -0.007264323730468762
3.8000000000000003  0.19559939972093776  1.1789480996555552 -0.5903513183593748 -0.008527360839843744
4.0  0.17365914175099917  0.9564102236316511 -0.5563894726562496 -0.0029683081054687472
