151	-739.716765	-739.716765	0.000000
152	-739.695338	-739.706052	0.015266
153	-739.731573	-739.714559	0.012767
154	-739.726592	-739.717567	0.009859
155	-739.705050	-739.715064	0.008435
156	-739.672654	-739.707995	0.010656
157	-739.657904	-739.700839	0.011712
158	-739.635209	-739.692636	0.013105
159	-739.655914	-739.688555	0.012296
160	-739.654099	-739.685110	0.011573
161	-739.663627	-739.683157	0.010698
162	-739.707979	-739.685225	0.010063
163	-739.767882	-739.691584	0.011336
164	-739.821077	-739.700833	0.014038
165	-739.812753	-739.708294	0.015088
166	-739.807904	-739.714520	0.015438
167	-739.783260	-739.718564	0.015076
168	-739.788659	-739.722458	0.014803
169	-739.795195	-739.726286	0.014543
170	-739.778860	-739.728915	0.014058
171	-739.802625	-739.732425	0.013839
172	-739.682482	-739.730155	0.013499
173	-739.594731	-739.724267	0.014294
174	-739.591810	-739.718748	0.014827
175	-739.658061	-739.716320	0.014457
176	-739.664483	-739.714326	0.014063
177	-739.648132	-739.711875	0.013789
178	-739.696460	-739.711324	0.013332
179	-739.637001	-739.708761	0.013146
180	-739.633407	-739.706250	0.013058
181	-739.723355	-739.706801	0.012670
182	-739.722211	-739.707283	0.012287
183	-739.767242	-739.709100	0.012155
184	-739.779391	-739.711167	0.012011
185	-739.780813	-739.713157	0.011873
186	-739.875851	-739.717676	0.012431
187	-739.871435	-739.721832	0.012810
188	-739.825334	-739.724556	0.012779
189	-739.932181	-739.729879	0.013639
190	-739.891076	-739.733909	0.013945
191	-739.789228	-739.735259	0.013690
192	-739.702272	-739.734473	0.013409
193	-739.557008	-739.730346	0.013763
194	-739.643562	-739.728374	0.013613
195	-739.639319	-739.726395	0.013501
196	-739.428259	-739.719913	0.014772
197	-739.297695	-739.710930	0.017117
198	-739.314151	-739.702664	0.018722
199	-739.549058	-739.699529	0.018697
200	-739.695351	-739.699445	0.018338
